NN, 64, 0, 6.803414583206177, 5.061666774933951, 3.2624928951263428, 4.464387086394977, 0.8492496013641357, 2.6054737727209822, 2.1545627117156982, 2.3275850998072865, 0.6631455421447754, 0.0030863557275348907, 6.098191261291504, 0.27376624804506056, 0.0007574456930160522 
GP, 64, 0, 0.011560201644897461, 9.697362118517804, 1.370326280593872, 9.743609153579282, 0.527616024017334, 4.5409017210096945, 0.7873353958129883, 4.649838049760562, 0.26612424850463867, 0.002138904794270951, 0.4029421806335449, 0.16662388393942934, 0.00030127525329589846 
PINN, 64, 0, 8.934897899627686, 3.666479862138051, 4.95011830329895, 3.6223900099919977, 1.2962048053741455, 1.9671744659309143, 2.5006916522979736, 1.9524021257143744, 0.7299346923828125, 0.003241806577155089, 1.2559430599212646, 0.29831298451084226, 0.0004216510057449341 
PIGP, 64, 0, 0.18037915229797363, 6.309096244388328, 28.413846492767334, 6.737841183701127, 2.1972618103027344, 2.5214037862896386, 16.13951826095581, 2.7956390629710626, 1.239912748336792, 0.06747520394476937, 6.402660131454468, 0.17230049284730498, 0.0008559846878051758 
NN, 128, 0, 2.8936562538146973, 4.373583533221318, 2.9255266189575195, 4.101201642902635, 0.8591189384460449, 2.6577159221482707, 1.7630319595336914, 2.507883640414554, 0.6651573181152344, 0.0022432477473229876, 5.4709742069244385, 0.20750620169744308, 0.0007690125703811645 
GP, 128, 0, 0.022451162338256836, 3.395328940031176, 1.7564451694488525, 5.758046499512504, 0.570152997970581, 1.163497189102948, 1.0088012218475342, 1.8147335549885069, 0.34039759635925293, 0.0010629243706324568, 0.5020012855529785, 0.08561297337309051, 0.00037679076194763184 
PINN, 128, 0, 141.59392499923706, 0.8990431924838391, 5.168921947479248, 1.005057837476239, 1.036508321762085, 0.4771942842742472, 3.2806575298309326, 0.5555540154628577, 0.565377950668335, 8.981927718988104e-05, 1.7887465953826904, 0.009175880018739068, 0.00044169068336486817 
PIGP, 128, 0, 0.4567577838897705, 5.408566895229144, 106.00043177604675, 7.380938853702221, 4.53281307220459, 2.7943198207680364, 86.23863458633423, 3.1256596937301127, 2.491431713104248, 0.03437461439349271, 58.50266194343567, 0.044838535326882034, 0.0015410476922988893 
NN, 256, 0, 2.7404940128326416, 4.693530595506718, 3.1804845333099365, 4.2903352473945215, 0.7817046642303467, 2.927719414982214, 1.8807291984558105, 2.7476519303560143, 0.5631186962127686, 0.002903568308725732, 5.582835674285889, 0.2646917094788005, 0.0007576286792755127 
GP, 256, 0, 0.07542920112609863, 3.66111847931925, 1.968520164489746, 5.091061226328532, 0.6342024803161621, 1.409008023611973, 1.0760867595672607, 1.4117328331766652, 0.37602782249450684, 0.0012143714211445245, 0.4850771427154541, 0.1042931233315451, 0.00036028504371643066 
PINN, 256, 0, 264.4092559814453, 1.3017728499161934, 4.535763502120972, 1.3484943438889372, 0.9748046398162842, 1.0958518870670728, 2.539835214614868, 1.092215139172521, 0.5490865707397461, 0.0002729998445749873, 1.7787389755249023, 0.020119374125745836, 0.0004248476028442383 
PIGP, 256, 0, 1.5761768817901611, 4.828538254317964, 249.88972234725952, 7.599207919750487, 8.956395864486694, 2.0555429828576544, 181.28454732894897, 3.2424910908543185, 5.008589506149292, 0.0008814315394416521, 118.26906371116638, 0.006188756645564382, 0.0030614840984344483 
NN, 512, 0, 2.807953119277954, 4.536929799088579, 3.342778205871582, 4.154981710469032, 0.8183014392852783, 2.6515056359647513, 1.98997163772583, 2.483934679612806, 0.5293679237365723, 0.002563590186311923, 5.55117392539978, 0.23629672026097295, 0.0007283604145050049 
GP, 512, 0, 0.14159059524536133, 3.4578507552512883, 1.920949935913086, 3.868595326196891, 0.6612906455993652, 1.650061350540357, 1.0673694610595703, 1.8119872482895105, 0.3553466796875, 0.0009228864167364248, 0.5510721206665039, 0.08257512567112928, 0.0004093712568283081 
PINN, 512, 0, 276.8288962841034, 1.2212444462495473, 5.23846960067749, 1.2677918070585836, 1.0218653678894043, 0.6995506975921569, 3.0767745971679688, 0.7473819173021833, 0.5587074756622314, 2.1691413974834348e-05, 1.7651891708374023, 0.002004295821940116, 0.00042918503284454344 
PIGP, 512, 0, 8.752246618270874, 4.783359627881785, 398.29158186912537, 6.81995281972873, 18.388102293014526, 1.7176286286441966, 334.23156118392944, 1.7435349815829229, 10.17263650894165, 0.020055902379850284, 229.20860505104065, 0.0033625907467600452, 0.006166755557060242 
NN, 1024, 0, 3.108438014984131, 3.748028050187541, 3.314544439315796, 3.5672944491961123, 0.840510368347168, 2.5748866300728626, 1.9389667510986328, 2.444066544858155, 0.5783722400665283, 0.002537580632113571, 5.966795444488525, 0.2364615815116376, 0.0007857316732406616 
GP, 1024, 0, 0.38769078254699707, 7.703652391367674, 1.8414428234100342, 7.399566369104434, 0.7121593952178955, 3.365206669360512, 0.9822766780853271, 3.144194188378678, 0.38205480575561523, 0.0007881655540184066, 0.5944867134094238, 0.06933599881634875, 0.0004358577728271484 
PINN, 1024, 0, 536.9569745063782, 0.7375940948771074, 4.802099704742432, 0.8181985366703053, 1.0185487270355225, 0.3030751123572407, 2.708601474761963, 0.3518023551273232, 0.5699961185455322, 2.274044981674973e-06, 1.4354937076568604, 0.0002940361642890351, 0.0004314088821411133 
PIGP, 1024, 0, 37.15908861160278, 5.444527591141048, 1009.0750639438629, 6.4287229948256925, 38.194783449172974, 2.7389798260507203, 759.218584060669, 2.282989438888203, 20.846416234970093, 0.0004961829873659114, 535.282173871994, 0.0017875919191310799, 0.012516438961029053 
